filename,target,fold
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/clou7357.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1247.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/agresivnaya-kompani858.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/audio43060o_monoo45o160070.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/3cb500f0863e13253.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/397.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/z_uki-boya-kanona1801.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/zvuk-tolpy-nochj1251.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1482.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1038.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/kape3153.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/right_turn_constant_mkh8040300160030.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/afganskaya-_oyna-z_uki-afganista41204.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/86071_1275452-303.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/weather_wind_strong_constant_wind_break_pier_sto3453.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/tolpa-sm303.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/00130606.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/voyna-z_uki-s-polya-boy150y.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/716.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/Gruzoviki-proezjaut-mi51055.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2718.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/a9307f12a55ca2202.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/001306856.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/zvuk-tolpy-nochj7157.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/09f80055a7f8f8208.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/wind_harsh_mountain_gust_454.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/d9467985202259409.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/a9307f12a55ca909.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/zvuk-tolpy-nochju10u.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/nature_fore5155.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1157.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2310.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1743.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/09f80055a7f8f1651.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/shum-tol4854.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/zvuk-tolpy-nochj5455.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/829.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/afganskaya-_oyna-z_uki-afganista6506.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/weather_wind_strong_constant_wind_break_pier_stor55r.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2138.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/509.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/z_uki-boya-kanona61156.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/right_turn_constant_mkh8040650160020.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/nature_fores10s.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/weather_wind_gusts_howlin10n.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/clou9209.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2384.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/zu_k-_oyny-b3403.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/serditaya-shumnaya-tolpa-zlyie-vyikriki-skandirovanie-249151.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/kape5305.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/15782_146048763153.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/audio2549552_mono2402160070.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2152.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/09f80055a7f8fe0e.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/09f80055a7f8f1751.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/09f80055a7f8f91009.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2650.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/agresivnaya-kompani6156.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/z_uki-boya-kanona3303.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/z_uk-tanka-d_izhuschiysya-ta4204.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/voyna-z_uki-s-polya-boy55y.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/zvuki_-_kriki_s_attrakcio9109.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/zvuk-tolpy-nochj9809.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/audio2549552_mono252160020.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/15782_146048768208.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1878.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/09f80055a7f8f505.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1346.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1832.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/weather_wind_strong_constant_wind_break_pier_sto7207.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2737.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/3b63eee1330a41401.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1637.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/voyna-z_uki-s-polya-bo11551.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/86071_1275452-757.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/nature_rain_light_metal_roof_thunderstorm_approa3653.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/nature_fore3253.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/left_constant_mkh804050160050.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/z_uki-boya-kanona31853.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/clou2352.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/_left_turn-slow-fast-slow_short_mkh8040600160060.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/efx-ext-design-wind-in-october-2752.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1968.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/rain_hail_hit_wind5105.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/468.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2207.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/888.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/1109.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/shum-tol4254.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/nature_fore7207.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/efx-ext-design-wind-in-october-6206.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/001307207.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/audio4_mono41704160010.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/raznyie-zvuki-letyaschego-samole8708.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/Gruzoviki-proezjaut-mi11451.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/nature_rain_falling_on_verandah_roof_1542352.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2285.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/302.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/zu_k-_oyny-b7307.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/serditaya-shumnaya-tolpa-zlyie-vyikriki-skandirovanie-2495655.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2420.wav,1,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/afganskaya-_oyna-z_uki-afganista9459.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/no_drone/winter-morni2252.wav,0,1
C:/Users/user/Documents/test/drone_detect/dataset/train/drone/2057.wav,1,1
